unit_id,timestamp,period,fail,sensors_in_alarm,sensors_in_warning,spc_alarm
U0170,2008-08-09 11:42:00,train,1,0,2,False
U0171,2008-08-09 17:34:00,train,0,0,2,False
U0172,2008-08-09 19:03:00,train,0,0,4,False
U0173,2008-08-09 20:04:00,train,0,0,5,False
U0174,2008-08-09 21:07:00,train,0,0,6,False
U0175,2008-08-09 22:15:00,train,0,1,6,True
U0176,2008-08-09 22:37:00,train,0,1,6,True
U0177,2008-08-09 23:17:00,train,0,1,4,True
U0178,2008-08-09 23:34:00,train,0,1,4,True
U0179,2008-08-10 00:09:00,train,0,1,4,True
U0180,2008-08-10 00:46:00,train,0,1,4,True
U0181,2008-08-10 06:00:00,train,1,0,3,False
U0182,2008-08-10 06:41:00,train,0,0,2,False
U0183,2008-08-10 07:01:00,train,1,0,2,False
U0184,2008-08-10 11:16:00,train,0,0,2,False
U0185,2008-08-10 11:49:00,train,0,1,2,True
U0186,2008-08-10 12:22:00,train,0,2,3,True
U0187,2008-08-10 15:59:00,train,1,1,3,True
U0188,2008-08-10 19:07:00,train,0,1,3,True
U0189,2008-08-10 20:07:00,train,1,0,3,False
U0190,2008-08-10 22:26:00,train,1,1,4,True
U0191,2008-08-11 03:06:00,train,0,0,4,False
U0192,2008-08-11 04:09:00,train,0,0,2,False
U0193,2008-08-11 05:15:00,train,0,0,3,False
U0194,2008-08-11 11:35:00,train,0,0,4,False
U0195,2008-08-11 12:38:00,train,0,0,4,False
U0196,2008-08-12 04:23:00,train,0,0,5,False
U0197,2008-08-12 06:16:00,train,0,4,3,True
U0198,2008-08-12 10:54:00,train,0,5,3,True
U0199,2008-08-12 11:29:00,train,0,1,3,True
U0200,2008-08-12 12:04:00,train,0,0,3,False
U0201,2008-08-13 02:48:00,train,0,0,2,False
U0202,2008-08-15 03:26:00,train,0,0,3,False
U0203,2008-08-15 04:14:00,train,0,0,2,False
U0204,2008-08-15 05:13:00,train,0,0,2,False
U0205,2008-08-15 09:38:00,train,0,0,1,False
U0206,2008-08-15 10:14:00,train,0,0,1,False
U0207,2008-08-15 11:42:00,train,0,0,1,False
U0208,2008-08-15 18:19:00,train,0,0,1,False
U0209,2008-08-15 19:19:00,train,0,0,1,False
U0210,2008-08-15 20:00:00,train,0,0,2,False
U0211,2008-08-15 20:03:00,train,0,0,2,False
U0212,2008-08-15 23:31:00,train,0,0,2,False
U0213,2008-08-16 02:21:00,train,0,0,2,False
U0214,2008-08-16 05:47:00,train,0,0,3,False
U0215,2008-08-16 06:52:00,train,0,1,4,True
U0216,2008-08-16 07:33:00,train,0,0,4,False
U0217,2008-08-16 08:39:00,train,0,0,3,False
U0218,2008-08-16 08:41:00,train,0,0,3,False
U0219,2008-08-16 09:44:00,train,1,0,3,False
U0220,2008-08-16 13:51:00,train,0,1,3,True
U0221,2008-08-16 14:30:00,train,0,3,3,True
U0222,2008-08-16 15:16:00,train,0,3,4,True
U0223,2008-08-16 15:19:00,train,1,1,3,True
U0224,2008-08-16 23:48:00,train,0,0,3,False
U0225,2008-08-17 00:52:00,train,0,0,3,False
U0226,2008-08-17 01:53:00,train,0,0,3,False
U0227,2008-08-17 03:17:00,train,0,0,3,False
U0228,2008-08-17 03:18:00,train,0,0,2,False
U0229,2008-08-17 03:46:00,train,0,0,2,False
U0230,2008-08-17 04:19:00,train,0,0,2,False
U0231,2008-08-17 05:21:00,train,0,0,2,False
U0232,2008-08-17 12:16:00,train,1,0,2,False
U0233,2008-08-17 13:34:00,train,0,0,2,False
U0234,2008-08-17 14:21:00,train,0,1,2,True
U0235,2008-08-17 15:25:00,train,0,1,1,True
U0236,2008-08-17 21:26:00,train,1,1,2,True
U0237,2008-08-17 22:03:00,train,1,0,1,False
U0238,2008-08-17 22:21:00,train,0,0,3,False
U0239,2008-08-17 23:04:00,train,1,0,3,False
U0240,2008-08-17 23:20:00,train,0,0,2,False
U0241,2008-08-17 23:55:00,train,1,0,3,False
U0242,2008-08-18 00:02:00,train,1,0,3,False
U0243,2008-08-18 00:20:00,train,0,0,1,False
U0244,2008-08-18 01:23:00,train,1,0,1,False
U0245,2008-08-18 04:01:00,train,1,0,0,False
U0246,2008-08-18 04:12:00,train,0,0,1,False
U0247,2008-08-18 04:35:00,train,0,0,0,False
U0248,2008-08-18 05:03:00,train,0,0,1,False
U0249,2008-08-18 05:25:00,train,0,0,2,False
U0250,2008-08-18 06:07:00,train,0,0,2,False
U0251,2008-08-18 06:11:00,train,0,0,2,False
U0252,2008-08-18 06:26:00,train,0,0,2,False
U0253,2008-08-18 07:11:00,train,0,0,2,False
U0254,2008-08-18 07:23:00,train,0,0,2,False
U0255,2008-08-18 07:29:00,train,0,0,1,False
U0256,2008-08-18 08:18:00,train,0,0,1,False
U0257,2008-08-18 08:31:00,train,0,0,1,False
U0258,2008-08-18 10:13:00,train,0,0,2,False
U0259,2008-08-18 11:04:00,train,0,0,1,False
U0260,2008-08-18 12:00:00,train,0,0,1,False
U0261,2008-08-18 12:06:00,train,0,0,1,False
U0262,2008-08-18 12:22:00,train,0,0,1,False
U0263,2008-08-18 12:49:00,train,0,0,1,False
U0264,2008-08-18 13:07:00,train,0,0,1,False
U0265,2008-08-18 14:01:00,train,0,0,1,False
U0266,2008-08-18 14:04:00,train,0,0,2,False
U0267,2008-08-18 14:45:00,train,0,0,1,False
U0268,2008-08-18 15:00:00,train,0,0,2,False
U0269,2008-08-18 15:26:00,train,0,0,3,False
U0270,2008-08-18 15:30:00,train,0,0,2,False
U0271,2008-08-18 15:33:00,train,0,0,2,False
U0272,2008-08-18 15:41:00,train,0,0,2,False
U0273,2008-08-18 16:19:00,train,0,0,1,False
U0274,2008-08-18 17:13:00,train,1,0,1,False
U0275,2008-08-18 17:16:00,train,0,0,3,False
U0276,2008-08-18 17:37:00,train,0,0,3,False
U0277,2008-08-18 19:24:00,train,0,0,1,False
U0278,2008-08-18 19:54:00,train,1,0,2,False
U0279,2008-08-18 23:00:00,train,0,0,0,False
U0280,2008-08-18 23:03:00,train,0,0,1,False
U0281,2008-08-18 23:47:00,train,0,0,1,False
U0282,2008-08-19 01:10:00,train,0,0,1,False
U0283,2008-08-19 03:59:00,train,1,0,1,False
U0284,2008-08-19 04:58:00,train,0,0,1,False
U0285,2008-08-19 05:09:00,train,0,0,1,False
U0286,2008-08-19 05:11:00,train,0,0,1,False
U0287,2008-08-19 05:11:00,train,0,0,1,False
U0288,2008-08-19 05:40:00,train,0,0,1,False
U0289,2008-08-19 05:41:00,train,0,0,1,False
U0290,2008-08-19 05:53:00,train,0,0,1,False
U0291,2008-08-19 05:54:00,train,0,0,2,False
U0292,2008-08-19 05:56:00,train,1,0,2,False
U0293,2008-08-19 06:24:00,train,0,0,1,False
U0294,2008-08-19 07:43:00,train,0,0,0,False
U0295,2008-08-19 07:58:00,train,1,0,2,False
U0296,2008-08-19 08:01:00,train,0,0,2,False
U0297,2008-08-19 08:07:00,train,0,0,1,False
U0298,2008-08-19 08:33:00,train,0,1,0,True
U0299,2008-08-19 09:04:00,train,0,0,0,False
U0300,2008-08-19 09:05:00,train,0,0,0,False
U0301,2008-08-19 10:46:00,train,0,0,0,False
U0302,2008-08-19 11:11:00,train,0,1,0,True
U0303,2008-08-19 11:13:00,train,0,1,1,True
U0304,2008-08-19 11:13:00,train,0,1,2,True
U0305,2008-08-19 11:28:00,train,0,1,3,True
U0306,2008-08-19 11:44:00,train,0,1,2,True
U0307,2008-08-19 11:46:00,train,0,1,2,True
U0308,2008-08-19 11:57:00,train,0,1,1,True
U0309,2008-08-19 11:58:00,train,0,1,2,True
U0310,2008-08-19 12:30:00,train,0,1,2,True
U0311,2008-08-19 15:33:00,train,0,0,1,False
U0312,2008-08-19 18:12:00,train,0,0,1,False
U0313,2008-08-19 18:12:00,train,0,0,1,False
U0314,2008-08-19 18:30:00,train,0,0,1,False
U0315,2008-08-19 18:30:00,train,0,0,1,False
U0316,2008-08-19 19:38:00,train,0,0,2,False
U0317,2008-08-19 20:53:00,train,0,0,1,False
U0318,2008-08-20 00:05:00,train,0,0,1,False
U0319,2008-08-20 01:33:00,train,0,0,0,False
U0320,2008-08-20 01:42:00,train,0,0,0,False
U0321,2008-08-20 02:13:00,train,0,0,0,False
U0322,2008-08-20 02:27:00,train,1,0,1,False
U0323,2008-08-20 03:00:00,train,0,0,2,False
U0324,2008-08-20 03:12:00,train,1,0,3,False
U0325,2008-08-20 06:36:00,train,0,0,3,False
U0326,2008-08-20 07:12:00,train,0,0,2,False
U0327,2008-08-20 08:40:00,train,1,0,1,False
U0328,2008-08-20 09:17:00,train,1,1,1,True
U0329,2008-08-20 10:26:00,train,0,0,1,False
U0330,2008-08-20 16:08:00,train,0,0,3,False
U0331,2008-08-20 16:16:00,train,0,0,2,False
U0332,2008-08-20 17:09:00,train,0,0,2,False
U0333,2008-08-20 17:35:00,train,0,0,1,False
U0334,2008-08-20 17:36:00,train,0,0,1,False
U0335,2008-08-20 18:29:00,train,0,0,0,False
U0336,2008-08-20 18:35:00,train,0,0,0,False
U0337,2008-08-20 19:20:00,train,1,0,0,False
U0338,2008-08-20 20:19:00,train,0,0,0,False
U0339,2008-08-20 21:33:00,train,0,0,0,False
U0340,2008-08-20 21:41:00,train,0,0,0,False
U0341,2008-08-20 21:58:00,train,0,0,2,False
U0342,2008-08-20 22:13:00,train,0,0,1,False
U0343,2008-08-20 22:45:00,train,0,0,1,False
U0344,2008-08-20 23:18:00,train,0,0,1,False
U0345,2008-08-20 23:43:00,train,1,0,1,False
U0346,2008-08-21 02:11:00,train,0,0,1,False
U0347,2008-08-21 02:46:00,train,0,0,0,False
U0348,2008-08-21 04:22:00,train,0,0,0,False
U0349,2008-08-21 04:29:00,train,0,0,0,False
U0350,2008-08-21 05:06:00,train,0,0,0,False
U0351,2008-08-21 05:15:00,train,0,0,0,False
U0352,2008-08-21 06:10:00,train,1,0,0,False
U0353,2008-08-21 11:22:00,train,0,0,0,False
U0354,2008-08-21 12:00:00,train,0,0,1,False
U0355,2008-08-21 12:31:00,train,0,0,1,False
U0356,2008-08-21 12:33:00,train,0,0,0,False
U0357,2008-08-21 12:43:00,train,0,0,1,False
U0358,2008-08-21 12:52:00,train,0,1,1,True
U0359,2008-08-21 13:11:00,train,0,1,0,True
U0360,2008-08-21 13:19:00,train,0,0,0,False
U0361,2008-08-21 13:29:00,train,0,0,1,False
U0362,2008-08-21 13:45:00,train,0,0,0,False
U0363,2008-08-21 14:47:00,train,0,0,0,False
U0364,2008-08-21 15:05:00,train,0,0,1,False
U0365,2008-08-21 15:06:00,train,0,0,1,False
U0366,2008-08-21 15:32:00,train,0,0,1,False
U0367,2008-08-21 15:48:00,train,0,0,0,False
U0368,2008-08-21 15:50:00,train,0,0,0,False
U0369,2008-08-21 16:19:00,train,1,0,0,False
U0370,2008-08-21 16:36:00,train,0,0,0,False
U0371,2008-08-21 17:25:00,train,0,0,0,False
U0372,2008-08-21 17:44:00,train,0,0,0,False
U0373,2008-08-21 18:04:00,train,0,0,0,False
U0374,2008-08-21 18:05:00,train,1,0,0,False
U0375,2008-08-21 18:39:00,train,0,0,0,False
U0376,2008-08-21 18:53:00,train,0,0,0,False
U0377,2008-08-21 19:12:00,train,0,0,0,False
U0378,2008-08-21 19:12:00,train,0,0,0,False
U0379,2008-08-21 19:46:00,train,0,0,0,False
U0380,2008-08-21 20:19:00,train,0,0,0,False
U0381,2008-08-21 20:21:00,train,0,0,0,False
U0382,2008-08-21 20:37:00,train,0,0,0,False
U0383,2008-08-21 21:32:00,train,0,0,0,False
U0384,2008-08-21 22:25:00,train,0,0,0,False
U0385,2008-08-21 22:41:00,train,0,0,0,False
U0386,2008-08-21 23:08:00,train,0,0,0,False
U0387,2008-08-21 23:27:00,train,0,0,0,False
U0388,2008-08-21 23:53:00,train,0,0,0,False
U0389,2008-08-21 23:57:00,train,0,0,0,False
U0390,2008-08-22 00:43:00,train,0,0,0,False
U0391,2008-08-22 00:44:00,train,0,0,2,False
U0392,2008-08-22 00:47:00,train,0,0,2,False
U0393,2008-08-22 01:04:00,train,1,0,1,False
U0394,2008-08-22 01:26:00,train,0,0,1,False
U0395,2008-08-22 01:27:00,train,0,0,1,False
U0396,2008-08-22 01:54:00,train,0,0,1,False
U0397,2008-08-22 02:01:00,train,0,0,2,False
U0398,2008-08-22 02:25:00,train,0,0,1,False
U0399,2008-08-22 02:52:00,train,0,0,1,False
U0400,2008-08-22 03:18:00,train,0,0,1,False
U0401,2008-08-22 03:58:00,train,0,0,1,False
U0402,2008-08-22 04:40:00,train,0,0,1,False
U0403,2008-08-22 04:57:00,train,0,0,1,False
U0404,2008-08-22 05:21:00,train,0,0,2,False
U0405,2008-08-22 05:31:00,train,0,0,3,False
U0406,2008-08-22 05:32:00,train,0,0,2,False
U0407,2008-08-22 06:00:00,train,1,0,2,False
U0408,2008-08-22 07:04:00,train,0,0,2,False
U0409,2008-08-22 07:17:00,train,0,0,3,False
U0410,2008-08-22 07:27:00,train,0,0,1,False
U0411,2008-08-22 09:29:00,train,0,0,1,False
U0412,2008-08-22 09:29:00,train,0,0,0,False
U0413,2008-08-22 10:01:00,train,0,0,0,False
U0414,2008-08-22 10:18:00,train,0,0,0,False
U0415,2008-08-22 10:47:00,train,0,0,0,False
U0416,2008-08-22 11:32:00,train,0,0,0,False
U0417,2008-08-22 12:13:00,train,0,1,0,True
U0418,2008-08-22 12:37:00,train,0,0,0,False
U0419,2008-08-22 12:42:00,train,0,0,0,False
U0420,2008-08-22 13:22:00,train,0,0,0,False
U0421,2008-08-22 14:45:00,train,0,0,0,False
U0422,2008-08-22 15:25:00,train,0,1,0,True
U0423,2008-08-22 15:39:00,train,0,0,0,False
U0424,2008-08-22 15:54:00,train,0,0,0,False
U0425,2008-08-22 19:14:00,train,1,0,0,False
U0426,2008-08-22 23:46:00,train,0,0,0,False
U0427,2008-08-22 23:47:00,train,0,0,0,False
U0428,2008-08-22 23:49:00,train,0,0,0,False
U0429,2008-08-22 23:56:00,train,0,0,0,False
U0430,2008-08-23 02:04:00,train,0,0,0,False
U0431,2008-08-23 03:26:00,train,0,0,0,False
U0432,2008-08-23 04:50:00,train,0,0,1,False
U0433,2008-08-23 04:52:00,train,0,0,1,False
U0434,2008-08-23 05:57:00,train,0,0,1,False
U0435,2008-08-23 05:57:00,train,0,0,1,False
U0436,2008-08-23 05:58:00,train,0,0,2,False
U0437,2008-08-23 05:58:00,train,0,0,1,False
U0438,2008-08-23 09:24:00,train,0,0,1,False
U0439,2008-08-23 12:58:00,train,0,1,0,True
U0440,2008-08-23 13:02:00,train,0,1,0,True
U0441,2008-08-23 15:10:00,train,0,1,1,True
U0442,2008-08-23 15:29:00,train,1,1,1,True
U0443,2008-08-24 02:32:00,train,0,1,1,True
U0444,2008-08-24 04:00:00,train,0,0,0,False
U0445,2008-08-24 07:12:00,train,0,0,1,False
U0446,2008-08-24 07:14:00,train,0,0,1,False
U0447,2008-08-24 10:09:00,train,0,0,1,False
U0448,2008-08-24 10:14:00,train,0,0,1,False
U0449,2008-08-24 13:03:00,train,1,0,1,False
U0450,2008-08-25 09:29:00,train,0,0,2,False
U0451,2008-08-27 00:46:00,train,0,0,0,False
U0452,2008-08-27 11:38:00,train,0,0,0,False
U0453,2008-08-27 12:22:00,train,0,0,1,False
U0454,2008-08-27 13:35:00,train,0,0,1,False
U0455,2008-08-27 14:18:00,train,0,0,1,False
U0456,2008-08-27 17:14:00,train,0,0,0,False
U0457,2008-08-27 22:48:00,train,0,0,0,False
U0458,2008-08-27 22:58:00,train,0,1,0,True
U0459,2008-08-28 03:03:00,train,0,0,0,False
U0460,2008-08-28 03:04:00,train,0,0,0,False
U0461,2008-08-28 03:29:00,train,0,0,0,False
U0462,2008-08-28 03:38:00,train,0,0,0,False
U0463,2008-08-28 03:45:00,train,0,0,1,False
U0464,2008-08-28 04:10:00,train,0,0,1,False
U0465,2008-08-28 04:20:00,train,0,0,1,False
U0466,2008-08-28 04:54:00,train,0,0,0,False
U0467,2008-08-28 05:00:00,train,0,0,0,False
U0468,2008-08-28 06:15:00,train,0,0,0,False
U0469,2008-08-28 06:39:00,train,0,0,0,False
U0470,2008-08-28 06:56:00,train,0,0,1,False
U0471,2008-08-28 07:40:00,train,0,0,1,False
U0472,2008-08-28 07:51:00,train,0,0,1,False
U0473,2008-08-28 08:41:00,train,0,0,2,False
U0474,2008-08-28 09:46:00,train,0,0,0,False
U0475,2008-08-28 09:49:00,train,0,0,0,False
U0476,2008-08-28 10:15:00,train,0,0,0,False
U0477,2008-08-28 10:28:00,train,0,0,1,False
U0478,2008-08-28 10:32:00,train,0,0,0,False
U0479,2008-08-28 11:19:00,train,0,0,0,False
U0480,2008-08-28 12:44:00,train,0,0,0,False
U0481,2008-08-28 14:48:00,train,0,0,0,False
U0482,2008-08-28 15:19:00,train,0,0,0,False
U0483,2008-08-28 16:01:00,train,0,0,1,False
U0484,2008-08-28 16:43:00,train,0,0,1,False
U0485,2008-08-28 16:52:00,train,0,0,0,False
U0486,2008-08-28 17:21:00,train,0,0,0,False
U0487,2008-08-28 17:27:00,train,0,0,0,False
U0488,2008-08-28 17:32:00,train,0,0,0,False
U0489,2008-08-28 18:05:00,train,0,0,0,False
U0490,2008-08-28 18:10:00,train,0,0,0,False
U0491,2008-08-28 18:15:00,train,0,0,0,False
U0492,2008-08-28 18:25:00,train,0,0,0,False
U0493,2008-08-28 18:47:00,train,0,0,0,False
U0494,2008-08-28 18:57:00,train,0,0,0,False
U0495,2008-08-28 20:20:00,train,0,0,0,False
U0496,2008-08-28 20:39:00,train,1,0,0,False
U0497,2008-08-28 21:03:00,train,0,0,0,False
U0498,2008-08-28 21:52:00,train,0,0,1,False
U0499,2008-08-28 22:57:00,train,0,0,1,False
U0500,2008-08-28 23:40:00,train,0,0,0,False
U0501,2008-08-28 23:42:00,train,0,0,0,False
U0502,2008-08-29 00:49:00,train,0,0,0,False
U0503,2008-08-29 01:06:00,train,0,0,0,False
U0504,2008-08-29 02:38:00,train,0,0,0,False
U0505,2008-08-29 02:39:00,train,0,0,0,False
U0506,2008-08-29 03:27:00,train,0,0,0,False
U0507,2008-08-29 03:33:00,train,0,0,0,False
U0508,2008-08-29 03:46:00,train,0,0,0,False
U0509,2008-08-29 04:55:00,train,1,0,0,False
U0510,2008-08-29 04:56:00,train,0,0,0,False
U0511,2008-08-29 05:16:00,train,0,0,0,False
U0512,2008-08-29 05:54:00,train,0,0,0,False
U0513,2008-08-29 05:54:00,train,0,0,0,False
U0515,2008-08-29 05:57:00,train,0,0,0,False
U0514,2008-08-29 05:57:00,train,0,1,0,True
