k,model,fold,ber,recall_fail,pr_auc,roc_auc
60,logistic,1,0.41138698630136994,0.4375,0.09227444891445431,0.5699200913242009
60,random_forest,1,0.34503424657534243,0.625,0.14155319416175505,0.716324200913242
100,logistic,1,0.5249714611872146,0.1875,0.09903303368124836,0.5876141552511416
100,random_forest,1,0.25656392694063923,0.875,0.19132108181518037,0.7368721461187215
272,logistic,1,0.46318493150684925,0.375,0.08234532679624902,0.5596461187214612
272,random_forest,1,0.33590182648401834,0.625,0.16270056349901302,0.73087899543379
5,logistic,2,0.42965182648401834,0.4375,0.09406116765982958,0.5996004566210046
5,random_forest,2,0.44263698630136994,0.375,0.10723166749098897,0.6235730593607306
10,logistic,2,0.44263698630136994,0.375,0.12919921721826294,0.620433789954338
10,random_forest,2,0.36415525114155245,0.5,0.19162104369813276,0.6952054794520548
15,logistic,2,0.43193493150684925,0.4375,0.13629959470341554,0.6258561643835616
15,random_forest,2,0.386986301369863,0.5,0.13231546371341327,0.6892123287671234
20,logistic,2,0.4143835616438356,0.5,0.13799728250663257,0.6230022831050228
20,random_forest,2,0.27953767123287676,0.6875,0.16815033173306473,0.7382990867579909
30,logistic,2,0.4289383561643836,0.375,0.15142787751855463,0.6084474885844748
30,random_forest,2,0.31763698630136994,0.625,0.15577824880068514,0.716324200913242
40,logistic,2,0.3885559360730594,0.4375,0.16586544516648466,0.6626712328767124
40,random_forest,2,0.34503424657534243,0.625,0.16415631727908836,0.7026255707762558
60,logistic,2,0.4091038812785388,0.4375,0.13830222253162244,0.653824200913242
60,random_forest,2,0.3283390410958904,0.5625,0.16143903082435396,0.7682648401826484
100,logistic,2,0.41894977168949765,0.5,0.11787020782231947,0.5653538812785388
100,random_forest,2,0.35259703196347036,0.6875,0.18492222923517895,0.7542808219178082
272,logistic,2,0.41267123287671237,0.75,0.15210007858138497,0.538527397260274
272,random_forest,2,0.3692922374429224,0.75,0.17669787080859914,0.7214611872146118
5,logistic,3,0.29937214611872154,0.625,0.23298744302589808,0.7856735159817352
5,random_forest,3,0.32662671232876717,0.8125,0.1819264491762314,0.7011986301369862
10,logistic,3,0.3404680365296804,0.625,0.2854125796017751,0.7337328767123288
10,random_forest,3,0.324486301369863,0.625,0.2519038425764487,0.7551369863013699
15,logistic,3,0.23829908675799083,0.875,0.29478946039317866,0.7913812785388128
15,random_forest,3,0.2672659817351598,0.8125,0.29015427427871743,0.8176369863013698
20,logistic,3,0.2923801369863014,0.8125,0.2366825031458303,0.7674086757990868
20,random_forest,3,0.3130707762557078,0.625,0.2648311816391541,0.776255707762557
30,logistic,3,0.29780251141552516,0.6875,0.21798606728020758,0.7397260273972602
30,random_forest,3,0.29166666666666674,0.75,0.26077733815712845,0.8202054794520549
40,logistic,3,0.2855308219178082,0.8125,0.1968953378325186,0.7568493150684932
40,random_forest,3,0.23758561643835618,0.8125,0.35906584569172967,0.8207762557077626
60,logistic,3,0.3327625570776256,0.75,0.18838634096069784,0.7071917808219178
60,random_forest,3,0.24215182648401834,0.8125,0.33017379220435894,0.8481735159817352
100,logistic,3,0.3480308219178082,0.6875,0.1959434591150073,0.682648401826484
100,random_forest,3,0.2658390410958904,0.6875,0.35696548528710015,0.8638698630136986
272,logistic,3,0.3938356164383562,0.5,0.23232454911150152,0.6409817351598174
272,random_forest,3,0.21618150684931514,0.9375,0.31065558343021354,0.8418949771689498
5,logistic,4,0.3418949771689498,0.75,0.11804573010027235,0.6555365296803654
5,random_forest,4,0.3000856164383562,0.6875,0.15258636988012292,0.7134703196347032
10,logistic,4,0.2635559360730594,0.6875,0.14764538206907213,0.7034817351598174
10,random_forest,4,0.33818493150684925,0.625,0.18600719165717636,0.7636986301369864
15,logistic,4,0.2962328767123288,0.75,0.16859428419819436,0.7031963470319634
15,random_forest,4,0.4068207762557078,0.4375,0.14402428808603124,0.6900684931506849
20,logistic,4,0.3496004566210046,0.625,0.13459350417210258,0.6301369863013699
20,random_forest,4,0.3092180365296804,0.6875,0.18845358091096565,0.7519977168949772
30,logistic,4,0.336615296803653,0.6875,0.1879068538330896,0.6572488584474886
30,random_forest,4,0.3427511415525114,0.625,0.2150746563421531,0.7417237442922374
40,logistic,4,0.4022545662100456,0.4375,0.19980539009298198,0.6632420091324202
40,random_forest,4,0.3610159817351598,0.625,0.23569019650562104,0.7368721461187214
60,logistic,4,0.3831335616438356,0.5625,0.1977374409370373,0.694634703196347
60,random_forest,4,0.31606735159817356,0.6875,0.32973595465691397,0.7876712328767124
100,logistic,4,0.38013698630136994,0.5,0.1360982418467935,0.6738013698630136
100,random_forest,4,0.36030251141552516,0.5625,0.22808922231421144,0.7793949771689498
272,logistic,4,0.399115296803653,0.5625,0.21404208354032192,0.7034817351598174
272,random_forest,4,0.24743150684931514,0.875,0.28752788869646545,0.836472602739726
5,logistic,5,0.2558504566210046,0.8125,0.14847010075678438,0.7565639269406392
5,random_forest,5,0.2711187214611872,0.75,0.21791761833668266,0.7978025114155252
10,logistic,5,0.2962328767123288,0.75,0.1475760669790887,0.7431506849315068
10,random_forest,5,0.2793949771689498,0.875,0.2732024946760378,0.7950913242009132
15,logistic,5,0.3144977168949772,0.75,0.1842809734399798,0.7391552511415526
15,random_forest,5,0.23829908675799083,0.875,0.3424584321911006,0.8125
20,logistic,5,0.31906392694063923,0.75,0.17191503745271,0.7057648401826484
20,random_forest,5,0.29394977168949765,0.75,0.18916265235687452,0.7779680365296804
30,logistic,5,0.40981735159817356,0.5,0.17072524586104712,0.6521118721461188
30,random_forest,5,0.23687214611872154,0.75,0.2511381032021355,0.7845319634703197
40,logistic,5,0.35944634703196354,0.6875,0.1624765914641183,0.6329908675799086
40,random_forest,5,0.36715182648401834,0.5625,0.19452404045617505,0.7263127853881278
60,logistic,5,0.401398401826484,0.5625,0.18878900815484825,0.641837899543379
60,random_forest,5,0.3167808219178082,0.75,0.19860726534912818,0.7865296803652968
100,logistic,5,0.41894977168949765,0.5,0.17186180702705162,0.593892694063927
100,random_forest,5,0.3441780821917808,0.75,0.22463148949576064,0.7748287671232876
272,logistic,5,0.4744577625570776,0.5625,0.1544588630822466,0.5904680365296804
272,random_forest,5,0.3130707762557078,0.625,0.17352687456114146,0.7297374429223744
5,logistic,6,0.32291666666666674,0.6875,0.1342691795831634,0.6886415525114155
5,random_forest,6,0.3129280821917808,0.8125,0.11788482715506884,0.7074771689497718
10,logistic,6,0.28253424657534243,0.75,0.16590883318719796,0.738013698630137
10,random_forest,6,0.27568493150684925,0.75,0.16411911380842883,0.7893835616438356
15,logistic,6,0.3153538812785388,0.625,0.20076968908363238,0.7374429223744292
15,random_forest,6,0.33062214611872154,0.5625,0.20139915678408435,0.7745433789954338
20,logistic,6,0.319777397260274,0.8125,0.17931287859546888,0.7265981735159818
20,random_forest,6,0.33290525114155245,0.5625,0.1827903676280631,0.7539954337899544
30,logistic,6,0.38384703196347036,0.625,0.13982751024512877,0.6552511415525114
30,random_forest,6,0.26041666666666674,0.8125,0.26623157672657444,0.733162100456621
40,logistic,6,0.40596461187214605,0.5625,0.13586631025620627,0.6424086757990868
40,random_forest,6,0.33290525114155245,0.5625,0.26083910914458763,0.75
60,logistic,6,0.4066780821917808,0.625,0.14491972925895505,0.6846461187214612
60,random_forest,6,0.24143835616438358,0.75,0.18699287066262602,0.7751141552511416
100,logistic,6,0.4235159817351598,0.5,0.12610911694914104,0.6780821917808219
100,random_forest,6,0.26269977168949765,0.8125,0.1965772095279828,0.7708333333333334
272,logistic,6,0.41424086757990874,0.6875,0.10982525565979369,0.632134703196347
272,random_forest,6,0.30607876712328763,0.8125,0.231085756929077,0.7736872146118722
5,logistic,7,0.35416666666666674,0.625,0.1179509564270935,0.7006278538812785
5,random_forest,7,0.28239155251141557,0.9375,0.1556135526631464,0.7051940639269407
10,logistic,7,0.2772545662100456,0.6875,0.13531324113287435,0.7385844748858448
10,random_forest,7,0.3167808219178082,0.75,0.2604820118549987,0.7822488584474886
15,logistic,7,0.3351883561643836,0.5625,0.12775053872963946,0.7146118721461188
15,random_forest,7,0.2688356164383562,0.75,0.22152259560189375,0.803082191780822
20,logistic,7,0.34118150684931514,0.6875,0.11765652369718949,0.6815068493150686
20,random_forest,7,0.32134703196347036,0.75,0.27050531308297493,0.759417808219178
30,logistic,7,0.36558219178082196,0.625,0.11794001105532498,0.6678082191780822
30,random_forest,7,0.29009703196347036,0.8125,0.18643770079144634,0.7617009132420091
40,logistic,7,0.36715182648401834,0.5625,0.13114367402171184,0.6663812785388128
40,random_forest,7,0.31992009132420085,0.625,0.18640166983741197,0.7542808219178083
60,logistic,7,0.3153538812785388,0.625,0.14922256330375017,0.6815068493150684
60,random_forest,7,0.32519977168949765,0.6875,0.20953119153317376,0.761986301369863
100,logistic,7,0.4022545662100456,0.4375,0.13520512382244698,0.6626712328767124
100,random_forest,7,0.274115296803653,0.8125,0.18592507080013634,0.7651255707762558
272,logistic,7,0.511986301369863,0.25,0.12060057782348776,0.6207191780821918
272,random_forest,7,0.32519977168949765,0.6875,0.23188457014345332,0.7634132420091324
5,logistic,8,0.2749714611872146,0.6875,0.3864029235138095,0.7462899543378996
5,random_forest,8,0.3573059360730594,0.5,0.12292850587044069,0.6786529680365296
10,logistic,8,0.2818207762557078,0.6875,0.29092706808850716,0.7896689497716894
10,random_forest,8,0.34360730593607314,0.5,0.16523381259445635,0.7822488584474886
15,logistic,8,0.23915525114155245,0.75,0.2864267394587027,0.7965182648401826
15,random_forest,8,0.31378424657534243,0.6875,0.17038551108491443,0.7722602739726028
20,logistic,8,0.20790525114155245,0.8125,0.2866413250949402,0.7936643835616438
20,random_forest,8,0.32377283105022836,0.5625,0.19475527544835247,0.8164954337899544
30,logistic,8,0.2749714611872146,0.6875,0.2782893020924608,0.7577054794520549
30,random_forest,8,0.2658390410958904,0.6875,0.24838987637124477,0.8047945205479452
40,logistic,8,0.32134703196347036,0.75,0.277747477855917,0.7254566210045662
40,random_forest,8,0.2696917808219178,0.625,0.24496735734723524,0.8224885844748859
60,logistic,8,0.382277397260274,0.6875,0.15959091350908317,0.6957762557077626
60,random_forest,8,0.3344748858447488,0.5,0.17536807932204748,0.7839611872146118
100,logistic,8,0.3192066210045662,0.5625,0.2832967467528387,0.714041095890411
100,random_forest,8,0.32762557077625565,0.5,0.20990573867302273,0.8107876712328768
272,logistic,8,0.3380422374429224,0.8125,0.3291199308926157,0.7397260273972603
272,random_forest,8,0.2490011415525114,0.8125,0.2679744610539629,0.8224885844748859
5,logistic,9,0.31464041095890405,0.5625,0.12963287670822066,0.6835045662100457
5,random_forest,9,0.322203196347032,0.625,0.17441443843304652,0.7462899543378996
10,logistic,9,0.33062214611872154,0.5625,0.1350828883736218,0.6449771689497716
10,random_forest,9,0.3457477168949772,0.6875,0.17810969899333282,0.7380136986301371
15,logistic,9,0.324486301369863,0.625,0.19876242728012225,0.709189497716895
15,random_forest,9,0.27340182648401834,0.75,0.24309235919625535,0.7745433789954338
20,logistic,9,0.3297659817351598,0.6875,0.14163886372421172,0.7026255707762556
20,random_forest,9,0.32819634703196354,0.75,0.20134542914014436,0.7585616438356164
30,logistic,9,0.29394977168949765,0.75,0.15824775203161195,0.7134703196347032
30,random_forest,9,0.3625856164383562,0.5625,0.18019810508356005,0.72574200913242
40,logistic,9,0.4052511415525114,0.5,0.1541950357689575,0.6906392694063928
40,random_forest,9,0.3808504566210046,0.5625,0.18482540654143048,0.7097602739726028
60,logistic,9,0.37243150684931514,0.625,0.19535446881620588,0.7077625570776256
60,random_forest,9,0.3527397260273972,0.5,0.20160511279168197,0.697203196347032
100,logistic,9,0.38156392694063923,0.625,0.1785529729538114,0.6543949771689498
100,random_forest,9,0.3062214611872146,0.625,0.1682810231098518,0.6963470319634704
272,logistic,9,0.34489155251141557,0.8125,0.2117503509102442,0.6549657534246576
272,random_forest,9,0.31992009132420085,0.625,0.23269382255784182,0.7457191780821919
