sensor,missing_pct,is_constant,status,mean,std,pass_mean,fail_mean,importance,importance_rank,is_top_sensor
sensor_034,0.06,No,Kept,50.5826,1.1826,50.5818,50.5939,0.00178,250,No
sensor_035,0.06,No,Kept,64.5558,2.5747,64.5642,64.4373,0.0036,43,No
sensor_036,0.06,No,Kept,49.4174,1.1826,49.4182,49.4061,0.00114,395,No
sensor_037,0.06,No,Kept,66.2213,0.3041,66.2179,66.2684,0.00272,88,No
sensor_038,0.06,No,Kept,86.8366,0.4468,86.8303,86.9247,0.00238,129,No
sensor_039,0.06,No,Kept,118.6796,1.8072,118.6806,118.6651,0.00254,102,No
sensor_040,1.53,No,Kept,67.9049,24.0629,68.2398,63.2706,0.00304,74,No
sensor_041,1.53,No,Kept,3.3531,2.3604,3.3515,3.3748,0.00218,154,No
sensor_042,0.06,Yes,Dropped - constant,70.0,0.0,70.0,70.0,,,No
sensor_043,0.06,No,Kept,355.5389,6.2347,355.5729,355.0605,0.00173,264,No
sensor_044,0.06,No,Kept,10.0312,0.175,10.0322,10.016,0.00169,276,No
sensor_045,0.06,No,Kept,136.7431,7.8492,136.7256,136.9886,0.00281,83,No
sensor_046,0.06,No,Kept,733.6728,12.1703,733.7034,733.2434,0.00157,311,No
sensor_047,0.06,No,Kept,1.178,0.1896,1.1765,1.198,0.00184,224,No
sensor_048,0.06,No,Kept,139.9722,4.5243,139.9906,139.7133,0.00167,280,No
sensor_049,0.06,Yes,Dropped - constant,1.0,0.0,1.0,1.0,,,No
sensor_050,0.06,No,Kept,632.2542,8.644,632.2892,631.7625,0.00188,208,No
sensor_051,0.06,No,Kept,157.421,60.9251,157.3234,158.7922,0.00173,266,No
sensor_052,0.06,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_053,0.26,No,Kept,4.593,0.0549,4.5929,4.5944,0.00192,196,No
sensor_054,0.26,No,Kept,4.8385,0.0596,4.8383,4.8417,0.00156,315,No
sensor_055,0.26,No,Kept,2856.1721,25.7493,2856.2336,2855.301,0.00329,57,No
sensor_056,0.26,No,Kept,0.9288,0.0068,0.9287,0.9305,0.00315,67,No
sensor_057,0.26,No,Kept,0.9492,0.0042,0.9492,0.9489,0.00163,294,No
sensor_058,0.26,No,Kept,4.5933,0.0851,4.592,4.6112,0.00324,63,No
sensor_059,0.45,No,Kept,2.9602,9.5322,2.5635,8.5151,0.02258,1,Yes
sensor_060,0.38,No,Kept,355.1591,6.0279,355.1886,354.7453,0.00137,360,No
sensor_061,0.38,No,Kept,10.4231,0.2749,10.4222,10.4359,0.00183,229,No
sensor_062,0.38,No,Kept,116.5023,8.629,116.5462,115.8884,0.00214,159,No
sensor_063,0.45,No,Kept,13.9899,7.1199,13.8759,15.5857,0.00294,79,No
sensor_064,0.45,No,Kept,20.5421,4.9775,20.4403,21.9676,0.00574,15,Yes
sensor_065,0.45,No,Kept,27.1318,7.1217,27.0275,28.5923,0.00548,17,Yes
sensor_066,0.38,No,Kept,706.6685,11.6231,706.7897,704.971,0.00165,287,No
sensor_067,0.38,No,Kept,16.7154,307.5023,13.4683,62.2073,0.00206,166,No
sensor_068,0.38,No,Kept,147.4376,4.2401,147.4966,146.6112,0.00251,107,No
sensor_069,0.38,Yes,Dropped - constant,1.0,0.0,1.0,1.0,,,No
sensor_070,0.38,No,Kept,619.1017,9.5392,619.2342,617.2449,0.00185,215,No
sensor_071,0.38,No,Kept,104.329,31.6519,104.3463,104.0874,0.00189,206,No
sensor_072,50.67,No,Dropped - >50% missing,150.3616,18.3885,150.3161,150.833,,,No
sensor_073,50.67,No,Dropped - >50% missing,468.0204,17.6299,468.1361,466.8211,,,No
sensor_074,0.38,No,Kept,0.0027,0.1062,0.0029,0.0,0.0,441,No
sensor_075,1.53,No,Kept,-0.0069,0.0223,-0.0071,-0.0046,0.00177,253,No
sensor_076,1.53,No,Kept,-0.0294,0.0332,-0.0289,-0.0363,0.00276,87,No
sensor_077,1.53,No,Kept,-0.007,0.0314,-0.0071,-0.0064,0.00154,321,No
sensor_078,1.53,No,Kept,-0.0136,0.0479,-0.0131,-0.0214,0.00173,268,No
sensor_079,1.53,No,Kept,0.0035,0.0231,0.003,0.0101,0.0035,46,No
sensor_080,1.53,No,Kept,-0.0185,0.0492,-0.0181,-0.0242,0.0016,306,No
sensor_081,1.53,No,Kept,-0.0212,0.017,-0.0213,-0.0197,0.00325,61,No
sensor_082,1.53,No,Kept,0.0061,0.0361,0.0062,0.0043,0.00183,230,No
sensor_083,0.06,No,Kept,7.4521,0.5163,7.4554,7.4047,0.00163,293,No
sensor_084,0.77,No,Kept,0.1331,0.0051,0.1331,0.1329,0.00108,406,No
sensor_085,85.58,No,Dropped - >50% missing,0.1128,0.0029,0.1129,0.1114,,,No
sensor_086,0.0,No,Kept,2.4019,0.0373,2.4016,2.4054,0.00185,219,No
sensor_087,0.0,No,Kept,0.9824,0.0128,0.9825,0.981,0.00172,269,No
sensor_088,0.0,No,Kept,1807.815,53.5373,1807.4317,1813.2077,0.00178,251,No
sensor_089,3.25,No,Kept,0.1887,0.0524,0.1883,0.1946,0.00214,156,No
sensor_090,3.25,No,Kept,8827.5369,396.3137,8833.2895,8748.6194,0.00497,20,Yes
sensor_091,0.38,No,Kept,0.0024,0.0877,0.0022,0.0055,0.00388,35,No
sensor_092,0.13,No,Kept,0.0005,0.0032,0.0005,0.0004,0.00199,182,No
sensor_093,0.13,No,Kept,-0.0005,0.003,-0.0006,-0.0002,0.00169,278,No
sensor_094,0.38,No,Kept,-0.0,0.0002,-0.0,-0.0,0.00055,434,No
sensor_095,0.38,No,Kept,0.0001,0.0001,0.0001,0.0001,0.00053,435,No
sensor_096,0.38,No,Kept,0.0171,0.2196,0.0177,0.0093,0.00237,132,No
sensor_097,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_098,0.38,No,Kept,-0.0181,0.4271,-0.0158,-0.0512,0.00249,109,No
sensor_099,0.38,No,Kept,0.0015,0.0627,0.0008,0.0124,0.0017,274,No
sensor_100,0.38,No,Kept,-0.0,0.0004,-0.0,0.0001,0.00226,143,No
sensor_101,0.38,No,Kept,-0.0,0.0002,-0.0,-0.0,0.00068,430,No
sensor_102,0.38,No,Kept,0.0011,0.063,0.0018,-0.0091,0.00416,32,No
sensor_103,0.13,No,Kept,-0.0098,0.0031,-0.0099,-0.0081,0.01451,2,Yes
sensor_104,0.13,No,Kept,-0.0,0.0009,-0.0,-0.0001,0.0011,401,No
sensor_105,0.38,No,Kept,-0.0005,0.0032,-0.0005,-0.0005,0.00154,319,No
sensor_106,0.38,No,Kept,0.0005,0.003,0.0006,0.0002,0.00148,334,No
sensor_107,0.38,No,Kept,-0.0018,0.0875,-0.0014,-0.0068,0.00183,226,No
sensor_108,0.38,No,Kept,-0.0108,0.0868,-0.0108,-0.0106,0.00154,320,No
sensor_109,64.96,No,Dropped - >50% missing,0.98,0.0087,0.98,0.9797,,,No
sensor_110,64.96,No,Dropped - >50% missing,101.3183,1.8801,101.2937,101.7425,,,No
sensor_111,64.96,No,Dropped - >50% missing,231.8189,2.1053,231.8765,230.822,,,No
sensor_112,45.63,No,Kept,0.4575,0.0489,0.4569,0.4643,0.00304,75,No
sensor_113,0.0,No,Kept,0.9454,0.0121,0.9454,0.9455,0.0026,96,No
sensor_114,0.0,No,Kept,0.0001,0.0017,0.0001,0.0006,0.0,446,No
sensor_115,0.0,No,Kept,747.3838,48.9492,747.9533,739.372,0.00441,28,No
sensor_116,0.0,No,Kept,0.9871,0.0095,0.9872,0.9867,0.00157,309,No
sensor_117,0.0,No,Kept,58.6259,6.4852,58.6548,58.2194,0.00266,92,No
sensor_118,1.53,No,Kept,0.5984,0.0081,0.5985,0.5977,0.00181,238,No
sensor_119,0.0,No,Kept,0.9708,0.0089,0.9708,0.971,0.00141,351,No
sensor_120,0.0,No,Kept,6.3109,0.1243,6.3115,6.3014,0.00183,227,No
sensor_121,0.57,No,Kept,15.7964,0.0996,15.7942,15.8281,0.00417,30,No
sensor_122,0.57,No,Kept,3.8984,0.9041,3.9173,3.6335,0.00332,56,No
sensor_123,0.57,No,Kept,15.8297,0.1083,15.8276,15.8589,0.00242,121,No
sensor_124,0.57,No,Kept,15.7947,0.1141,15.7918,15.8348,0.00446,27,No
sensor_125,0.57,No,Kept,1.185,0.2806,1.1912,1.097,0.00338,53,No
sensor_126,0.57,No,Kept,2.7507,0.2535,2.747,2.8029,0.00447,25,No
sensor_127,0.57,No,Kept,0.6485,0.1354,0.6512,0.6105,0.00295,78,No
sensor_128,0.57,No,Kept,3.1922,0.2642,3.1899,3.2239,0.00188,209,No
sensor_129,0.57,No,Kept,-0.5542,1.2205,-0.588,-0.0826,0.0073,8,Yes
sensor_130,0.57,No,Kept,0.745,0.0825,0.7433,0.7687,0.01007,4,Yes
sensor_131,0.57,No,Kept,0.9978,0.0023,0.9978,0.998,0.0025,108,No
sensor_132,0.51,No,Kept,2.3185,0.0532,2.3185,2.3186,0.00283,82,No
sensor_133,0.51,No,Kept,1004.0431,6.5377,1003.9246,1005.7005,0.0034,51,No
sensor_134,0.51,No,Kept,39.392,2.9905,39.4164,39.0503,0.00092,420,No
sensor_135,0.32,No,Kept,117.9609,57.5446,118.382,112.0577,0.00177,256,No
sensor_136,0.38,No,Kept,138.1947,53.9098,138.0321,140.474,0.00147,337,No
sensor_137,0.45,No,Kept,122.6929,52.253,122.2782,128.5592,0.00243,119,No
sensor_138,0.89,No,Kept,57.603,12.3454,57.4458,59.7942,0.00173,267,No
sensor_139,0.89,No,Kept,416.767,263.3006,417.1042,412.0683,0.00158,308,No
sensor_140,0.89,No,Kept,26.0779,506.9221,27.9268,0.3184,0.00112,398,No
sensor_141,0.89,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_142,0.89,No,Kept,6.6416,3.5523,6.6562,6.437,0.00169,275,No
sensor_143,0.57,No,Kept,0.0042,0.0013,0.0042,0.004,0.0026,94,No
sensor_144,0.13,No,Kept,0.12,0.0613,0.1206,0.1112,0.00316,66,No
sensor_145,0.13,No,Kept,0.0636,0.0265,0.0639,0.0593,0.00194,192,No
sensor_146,0.13,No,Kept,0.055,0.0218,0.0553,0.0514,0.00252,104,No
sensor_147,0.13,No,Kept,0.0174,0.0271,0.0174,0.0182,0.00239,125,No
sensor_148,0.13,No,Kept,8.4713,18.7406,8.4993,8.0778,0.00109,405,No
sensor_149,0.19,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_150,0.19,No,Kept,6.8143,3.2418,6.8248,6.667,0.00165,288,No
sensor_151,0.19,No,Kept,14.0474,31.0025,14.2328,11.4444,0.00123,384,No
sensor_152,0.19,No,Kept,1.1967,23.3641,1.2255,0.7933,0.00657,10,Yes
sensor_153,0.19,No,Kept,0.0119,0.0093,0.0119,0.0127,0.00251,106,No
sensor_154,0.19,No,Kept,7.698,5.2392,7.6958,7.7287,0.00135,362,No
sensor_155,0.64,No,Kept,0.5072,1.1224,0.5151,0.3956,0.00201,178,No
sensor_156,0.0,No,Kept,0.0581,0.0792,0.058,0.0587,0.00226,144,No
sensor_157,91.19,No,Dropped - >50% missing,0.0471,0.0395,0.0476,0.0393,,,No
sensor_158,91.19,No,Dropped - >50% missing,1039.6507,406.8488,1027.4569,1237.7999,,,No
sensor_159,0.13,No,Kept,882.6805,983.043,862.2756,1172.3107,0.00204,167,No
sensor_160,0.13,No,Kept,555.3463,574.8086,541.6047,750.3981,0.00258,97,No
sensor_161,0.13,No,Kept,4066.8505,4239.2451,4088.8953,3753.9417,0.00162,302,No
sensor_162,0.13,No,Kept,4797.1546,6553.5693,4807.2941,4653.233,0.00192,195,No
sensor_163,0.13,No,Kept,0.1402,0.122,0.137,0.1863,0.00446,26,No
sensor_164,0.13,No,Kept,0.1279,0.2425,0.1223,0.2084,0.00189,207,No
sensor_165,0.13,No,Kept,0.252,0.4073,0.2429,0.3813,0.00163,296,No
sensor_166,0.13,No,Kept,2.7889,1.1198,2.7733,3.0097,0.00116,390,No
sensor_167,0.13,No,Kept,1.2358,0.6328,1.232,1.2893,0.00073,428,No
sensor_168,0.13,No,Kept,0.1244,0.0476,0.1243,0.1257,0.00141,352,No
sensor_169,0.13,No,Kept,0.4005,0.1979,0.4011,0.3919,0.00133,368,No
sensor_170,0.06,No,Kept,0.6843,0.1575,0.6828,0.706,0.00145,341,No
sensor_171,0.06,No,Kept,0.1201,0.0608,0.12,0.1208,0.00116,391,No
sensor_172,0.06,No,Kept,0.3201,0.0712,0.3194,0.33,0.00177,254,No
sensor_173,0.06,No,Kept,0.5762,0.0957,0.5764,0.5736,0.00162,301,No
sensor_174,0.06,No,Kept,0.3201,0.0712,0.3194,0.33,0.002,179,No
sensor_175,0.06,No,Kept,0.778,0.1163,0.7767,0.7967,0.00227,140,No
sensor_176,0.06,No,Kept,0.2447,0.0749,0.245,0.2407,0.00143,347,No
sensor_177,0.06,No,Kept,0.3948,0.2829,0.395,0.3909,0.00122,386,No
sensor_178,1.53,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_179,0.06,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_180,0.06,No,Kept,19.0133,3.3116,19.0827,18.037,0.00386,37,No
sensor_181,0.06,No,Kept,0.5468,0.2244,0.5494,0.5103,0.00175,261,No
sensor_182,0.06,No,Kept,10.7805,4.1641,10.8153,10.2925,0.00304,76,No
sensor_183,0.06,No,Kept,26.6612,6.8361,26.5598,28.0859,0.00328,58,No
sensor_184,0.06,No,Kept,0.1448,0.1102,0.1447,0.1461,0.00203,170,No
sensor_185,0.06,No,Kept,7.3657,7.1887,7.383,7.1232,0.00103,412,No
sensor_186,0.06,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_187,0.06,No,Kept,17.9363,8.6099,17.9232,18.1204,0.00244,118,No
sensor_188,0.06,No,Kept,43.2114,21.7119,42.9384,47.0498,0.00235,134,No
sensor_189,0.06,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_190,0.26,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_191,0.26,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_192,0.26,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_193,0.26,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_194,0.26,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_195,0.26,No,Kept,0.2871,0.3952,0.2832,0.3423,0.00235,135,No
sensor_196,0.45,No,Kept,8.6885,15.7209,8.4643,11.8277,0.00254,103,No
sensor_197,0.38,No,Kept,20.0927,10.5522,19.935,22.3028,0.00279,86,No
sensor_198,0.38,No,Kept,0.5574,0.5377,0.5517,0.6371,0.00198,185,No
sensor_199,0.38,No,Kept,11.5321,16.4456,11.3037,14.7312,0.0019,202,No
sensor_200,0.45,No,Kept,17.6002,8.6907,17.4595,19.5703,0.00367,39,No
sensor_201,0.45,No,Kept,7.8394,5.1045,7.8001,8.3894,0.00179,244,No
sensor_202,0.45,No,Kept,10.1705,14.6229,10.118,10.9049,0.00245,115,No
sensor_203,0.38,No,Kept,30.0731,17.4618,29.861,33.045,0.00366,40,No
sensor_204,0.38,No,Kept,32.2182,565.1012,27.6415,96.3349,0.0021,163,No
sensor_205,0.38,No,Kept,9.0501,11.5411,8.8847,11.367,0.00727,9,Yes
sensor_206,0.38,No,Kept,0.0013,0.0506,0.0014,0.0,0.0,443,No
sensor_207,0.38,No,Kept,20.3762,17.4976,20.2109,22.692,0.00238,130,No
sensor_208,0.38,No,Kept,73.2643,28.0671,73.435,70.8734,0.00178,252,No
sensor_209,0.38,No,Kept,0.0296,1.1681,0.0317,0.0,0.0,444,No
sensor_210,1.53,No,Kept,0.0889,0.0421,0.0877,0.1049,0.00356,45,No
sensor_211,1.53,No,Kept,0.0568,0.025,0.0565,0.0609,0.00166,284,No
sensor_212,1.53,No,Kept,0.0514,0.0316,0.0514,0.0517,0.00144,342,No
sensor_213,1.53,No,Kept,0.0603,0.053,0.0597,0.069,0.00333,55,No
sensor_214,1.53,No,Kept,0.0833,0.0565,0.0838,0.0764,0.00178,248,No
sensor_215,1.53,No,Kept,0.0811,0.0304,0.0812,0.079,0.00198,184,No
sensor_216,1.53,No,Kept,0.0835,0.0258,0.0834,0.0851,0.00179,246,No
sensor_217,1.53,No,Kept,0.0716,0.0463,0.0715,0.0736,0.00152,325,No
sensor_218,0.06,No,Kept,3.7715,1.1704,3.7761,3.7065,0.0026,95,No
sensor_219,0.77,No,Kept,0.0033,0.0016,0.0032,0.0033,0.00111,400,No
sensor_220,85.58,No,Dropped - >50% missing,0.0092,0.002,0.0092,0.0087,,,No
sensor_221,0.0,No,Kept,0.0607,0.0233,0.0606,0.0626,0.00187,213,No
sensor_222,0.0,No,Kept,0.0088,0.0559,0.0084,0.0154,0.00075,427,No
sensor_223,0.0,No,Kept,122.8466,55.156,122.8623,122.6257,0.00194,190,No
sensor_224,3.25,No,Kept,0.0594,0.0712,0.0591,0.0632,0.00109,404,No
sensor_225,3.25,No,Kept,1041.0566,433.1701,1038.7114,1073.2291,0.00183,231,No
sensor_226,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_227,0.13,No,Kept,0.0191,0.0108,0.019,0.0208,0.00238,126,No
sensor_228,0.13,No,Kept,0.0178,0.0107,0.0178,0.0183,0.00197,188,No
sensor_229,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_230,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_231,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_232,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_233,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_234,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_235,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_236,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_237,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_238,0.13,No,Kept,0.0048,0.0017,0.0048,0.0049,0.00105,410,No
sensor_239,0.13,No,Kept,0.0046,0.0014,0.0046,0.0044,0.00202,176,No
sensor_240,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_241,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_242,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_243,0.38,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_244,64.96,No,Dropped - >50% missing,0.0058,0.0846,0.006,0.0023,,,No
sensor_245,64.96,No,Dropped - >50% missing,1.7297,4.3356,1.7532,1.3234,,,No
sensor_246,64.96,No,Dropped - >50% missing,4.1487,10.0451,4.1685,3.8074,,,No
sensor_247,45.63,No,Kept,0.0534,0.0669,0.0517,0.0713,0.00918,5,Yes
sensor_248,0.0,No,Kept,0.0252,0.0492,0.0251,0.0268,0.00113,397,No
sensor_249,0.0,No,Kept,0.0011,0.0158,0.0008,0.005,3e-05,439,No
sensor_250,0.0,No,Kept,109.651,54.5973,109.5496,111.0766,0.00162,297,No
sensor_251,0.0,No,Kept,0.0043,0.0375,0.0044,0.0028,0.00096,416,No
sensor_252,0.0,No,Kept,4.6451,64.3548,4.7589,3.0443,0.00227,141,No
sensor_253,1.53,No,Kept,0.0332,0.0224,0.0331,0.0342,0.00125,381,No
sensor_254,0.0,No,Kept,0.0139,0.0091,0.014,0.0132,0.00174,262,No
sensor_255,0.0,No,Kept,0.4038,0.1203,0.4042,0.3986,0.00148,336,No
sensor_256,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_257,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_258,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_259,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_260,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_261,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_262,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_263,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_264,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_265,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_266,0.57,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_267,0.51,No,Kept,0.0706,0.0296,0.0707,0.0689,0.00182,235,No
sensor_268,0.51,No,Kept,19.5047,7.3444,19.4913,19.6918,0.00203,169,No
sensor_269,0.51,No,Kept,3.7779,1.1523,3.7723,3.8556,0.00098,415,No
sensor_270,0.32,No,Kept,29.2603,8.402,29.3237,28.3717,0.00235,133,No
sensor_271,0.38,No,Kept,46.0566,17.8664,45.9283,47.8544,0.00185,218,No
sensor_272,0.45,No,Kept,41.2981,17.7375,41.1516,43.3716,0.00179,245,No
sensor_273,0.89,No,Kept,20.1812,3.8305,20.1559,20.5344,0.00143,350,No
sensor_274,0.89,No,Kept,136.2924,85.6078,136.4141,134.5973,0.0016,305,No
sensor_275,0.89,No,Kept,8.6932,168.9494,9.3095,0.106,0.00148,332,No
sensor_276,0.89,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_277,0.89,No,Kept,2.2107,1.1964,2.2138,2.1678,0.0017,273,No
sensor_278,0.57,No,Kept,0.0011,0.0003,0.0011,0.0011,0.00138,356,No
sensor_279,0.13,No,Kept,0.0411,0.0203,0.0413,0.0381,0.00267,90,No
sensor_280,0.13,No,Kept,0.018,0.0065,0.0181,0.0168,0.00293,80,No
sensor_281,0.13,No,Kept,0.0151,0.0055,0.0152,0.0141,0.00308,71,No
sensor_282,0.13,No,Kept,0.0058,0.0086,0.0057,0.0061,0.00223,147,No
sensor_283,0.13,No,Kept,2.804,5.8643,2.8144,2.6572,0.00135,363,No
sensor_284,0.19,Yes,Dropped - constant,0.0,0.0,0.0,0.0,,,No
sensor_285,0.19,No,Kept,2.1198,0.9629,2.123,2.0753,0.00187,210,No
sensor_286,0.19,No,Kept,4.26,9.7638,4.3152,3.4849,0.00219,153,No
sensor_287,0.19,No,Kept,0.3675,7.3863,0.377,0.2347,0.00496,21,No
sensor_288,0.19,No,Kept,0.0039,0.0029,0.0039,0.0042,0.00324,62,No
sensor_289,0.19,No,Kept,2.5786,1.617,2.5797,2.5631,0.00198,186,No
sensor_290,0.64,No,Kept,0.1234,0.271,0.1245,0.1089,0.00388,36,No
sensor_291,0.0,No,Kept,0.0199,0.0255,0.0199,0.0199,0.00152,326,No
sensor_292,91.19,No,Dropped - >50% missing,0.0145,0.0115,0.0146,0.0125,,,No
sensor_293,91.19,No,Dropped - >50% missing,335.5512,137.6925,331.6546,398.8709,,,No
sensor_294,0.13,No,Kept,401.8148,477.0501,391.4183,549.3839,0.00185,216,No
sensor_295,0.13,No,Kept,252.9991,283.5307,246.059,351.5081,0.0028,84,No
sensor_296,0.13,No,Kept,1879.2284,1975.1114,1887.5381,1761.2783,0.00187,212,No
sensor_297,0.13,No,Kept,2342.827,3226.9243,2346.1919,2295.0653,0.00199,183,No
sensor_298,0.13,No,Kept,0.0638,0.0642,0.0621,0.0886,0.00407,34,No
sensor_299,0.13,No,Kept,0.0603,0.1308,0.0572,0.1036,0.00237,131,No
sensor_300,0.13,No,Kept,0.1184,0.2191,0.1135,0.1884,0.00185,217,No
sensor_301,0.13,No,Kept,0.9101,0.332,0.9059,0.97,0.00183,228,No
sensor_302,0.13,No,Kept,0.4033,0.1975,0.402,0.4218,0.0017,272,No
sensor_303,0.13,No,Kept,0.0403,0.0145,0.0403,0.0408,0.00104,411,No
sensor_304,0.13,No,Kept,0.1321,0.0649,0.1322,0.1302,0.00181,237,No
sensor_305,0.06,No,Kept,0.2649,0.0574,0.2646,0.2694,0.00138,355,No
sensor_306,0.06,No,Kept,0.0486,0.0254,0.0486,0.0489,0.00103,413,No
sensor_307,0.06,No,Kept,0.1289,0.0275,0.1288,0.1312,0.00219,152,No
sensor_308,0.06,No,Kept,0.2184,0.0336,0.2184,0.2182,0.00231,137,No
sensor_309,0.06,No,Kept,0.1289,0.0275,0.1288,0.1312,0.00189,204,No
