unit_id,timestamp,date,week_start,month,day_name,hour,shift,status,fail_flag,missing_sensor_count,predicted_fail_prob,risk_level,anomaly_score,is_anomaly,ooc_sensor_count,sensor_059,sensor_103,sensor_033,sensor_130,sensor_247,sensor_519,sensor_477,sensor_129,sensor_205,sensor_152
U0018,2008-07-22 08:41:00,2008-07-22,2008-07-21,2008-07,Tuesday,8,Morning (08-16),Pass,0,40,0.0912,Low,0.4123,No,0,-5.5327,-0.0066,8.5762,0.7446,,,4.2575,-0.0473,6.54,0.455
U0019,2008-07-22 11:47:00,2008-07-22,2008-07-21,2008-07,Tuesday,11,Morning (08-16),Pass,0,28,0.0549,Low,0.4009,No,0,0.4836,-0.0052,8.6397,0.7785,,,3.9691,-0.4258,5.95,0.4062
U0020,2008-07-22 14:00:00,2008-07-22,2008-07-21,2008-07,Tuesday,14,Morning (08-16),Pass,0,28,0.1632,High,0.4102,No,1,22.4736,-0.0016,8.6789,0.7785,0.0283,6.0454,18.3408,-0.4258,27.08,0.3257
U0021,2008-07-22 15:30:00,2008-07-22,2008-07-21,2008-07,Tuesday,15,Morning (08-16),Pass,0,48,0.1266,Medium,0.4017,No,0,3.97,-0.0051,8.6572,0.7785,,,6.5183,-0.4258,9.29,0.4476
U0022,2008-07-23 05:15:00,2008-07-23,2008-07-21,2008-07,Wednesday,5,Night (00-08),Pass,0,28,0.0803,Low,0.4067,No,0,0.12,-0.0092,8.6397,0.7785,,,5.817,-0.4258,8.33,0.3507
U0023,2008-07-23 19:22:00,2008-07-23,2008-07-21,2008-07,Wednesday,19,Evening (16-24),Pass,0,24,0.1097,Medium,0.4046,No,0,-3.6564,-0.0072,8.6397,0.7777,,,4.4621,0.0473,6.93,0.2777
U0024,2008-07-25 15:23:00,2008-07-25,2008-07-21,2008-07,Friday,15,Morning (08-16),Fail,1,28,0.1938,High,0.4532,Yes,2,18.3936,-0.0108,9.2007,0.8093,0.2587,55.1651,4.2732,-0.4731,6.28,2.0334
U0025,2008-07-27 04:18:00,2008-07-27,2008-07-21,2008-07,Sunday,4,Night (00-08),Pass,0,28,0.171,High,0.4519,Yes,1,15.3536,-0.0076,8.7487,0.8743,0.0225,4.8108,4.0729,0.0946,6.14,0.5142
U0026,2008-07-27 09:37:00,2008-07-27,2008-07-21,2008-07,Sunday,9,Morning (08-16),Pass,0,28,0.1275,Medium,0.4493,Yes,1,2.9964,-0.0071,8.6942,0.7839,,,6.8058,-0.615,10.08,0.3428
U0027,2008-07-27 11:10:00,2008-07-27,2008-07-21,2008-07,Sunday,11,Morning (08-16),Pass,0,44,0.1352,Medium,0.4051,No,0,-6.9155,-0.0062,9.7997,0.7839,,,2.1242,-0.615,3.24,0.388
U0028,2008-07-27 15:46:00,2008-07-27,2008-07-21,2008-07,Sunday,15,Morning (08-16),Pass,0,20,0.1691,High,0.4327,Yes,0,17.3873,-0.0078,8.9336,0.6287,0.0332,6.9757,5.7628,-0.0473,8.26,3.4114
U0029,2008-07-27 16:06:00,2008-07-27,2008-07-21,2008-07,Sunday,16,Evening (16-24),Pass,0,20,0.1511,Medium,0.4068,No,0,13.1136,-0.0087,8.8388,0.7839,0.0597,12.6112,5.8357,-0.615,8.32,0.4089
U0030,2008-07-27 16:49:00,2008-07-27,2008-07-21,2008-07,Sunday,16,Evening (16-24),Pass,0,20,0.1664,High,0.4004,No,0,14.7073,-0.0112,8.7588,0.8139,0.0635,13.4497,6.1651,-0.0473,9.1,0.9961
U0031,2008-07-27 20:24:00,2008-07-27,2008-07-21,2008-07,Sunday,20,Evening (16-24),Pass,0,28,0.1514,Medium,0.4147,No,2,29.5109,-0.0098,23.3453,0.6287,0.0292,6.3198,4.0444,-0.0473,5.88,0.3989
U0032,2008-07-27 22:28:00,2008-07-27,2008-07-21,2008-07,Sunday,22,Evening (16-24),Pass,0,20,0.1056,Medium,0.4111,No,1,13.1482,-0.0093,8.8033,0.7839,0.1551,32.9064,4.6964,-0.615,6.98,0.446
U0033,2008-07-27 22:28:00,2008-07-27,2008-07-21,2008-07,Sunday,22,Evening (16-24),Pass,0,28,0.1269,Medium,0.4017,No,0,-3.3864,-0.0087,9.1283,0.8884,,,5.3197,0.0946,8.04,1.4992
U0034,2008-07-27 23:14:00,2008-07-27,2008-07-21,2008-07,Sunday,23,Evening (16-24),Pass,0,35,0.1268,Medium,0.4468,Yes,1,4.4036,-0.0084,8.8249,0.8884,,,4.6098,0.0946,6.8,2.8455
U0035,2008-07-28 03:31:00,2008-07-28,2008-07-28,2008-07,Monday,3,Night (00-08),Pass,0,20,0.2833,High,0.4128,No,0,17.5473,-0.0093,8.9336,0.8139,0.0974,20.9069,4.4298,-0.0473,6.38,1.2511
U0036,2008-07-28 03:48:00,2008-07-28,2008-07-28,2008-07,Monday,3,Night (00-08),Pass,0,28,0.1193,Medium,0.4092,No,0,-10.1245,-0.006,10.0686,0.8884,,,4.3614,0.0946,6.59,0.2675
U0037,2008-07-28 04:37:00,2008-07-28,2008-07-28,2008-07,Monday,4,Night (00-08),Pass,0,28,0.2502,High,0.4784,Yes,1,13.9782,-0.0091,8.7588,0.8139,0.0231,4.9154,6.0235,-0.0473,8.67,4.0045
U0038,2008-07-28 05:36:00,2008-07-28,2008-07-28,2008-07,Monday,5,Night (00-08),Pass,0,20,0.1639,High,0.4016,No,0,13.4891,-0.0087,8.7588,0.8139,0.0306,6.4745,6.9725,-0.0473,10.38,4.2234
U0039,2008-07-28 06:45:00,2008-07-28,2008-07-28,2008-07,Monday,6,Night (00-08),Fail,1,28,0.1908,High,0.431,No,1,24.9027,-0.0033,8.659,0.8139,0.0267,5.7587,6.9238,-0.0473,9.93,1.0515
U0040,2008-07-28 08:36:00,2008-07-28,2008-07-28,2008-07,Monday,8,Morning (08-16),Pass,0,32,0.1239,Medium,0.4021,No,1,23.4736,-0.0093,23.3453,0.8142,0.0268,5.8423,2.6882,-1.108,3.92,0.6573
U0041,2008-07-28 15:11:00,2008-07-28,2008-07-28,2008-07,Monday,15,Morning (08-16),Fail,1,20,0.2149,High,0.4292,No,0,15.1509,-0.0085,9.1585,0.8139,0.07,14.7676,5.1087,-0.0473,7.37,5.2486
U0042,2008-07-28 23:57:00,2008-07-28,2008-07-28,2008-07,Monday,23,Evening (16-24),Pass,0,32,0.0725,Low,0.3842,No,0,-2.6636,-0.0077,8.6074,0.8884,,,3.9721,0.0946,6.0,0.361
U0043,2008-07-29 04:08:00,2008-07-29,2008-07-28,2008-07,Tuesday,4,Night (00-08),Pass,0,24,0.1111,Medium,0.4054,No,0,-2.4636,-0.0082,9.1502,0.8884,,,3.3684,0.0946,5.09,0.3301
U0044,2008-07-29 05:16:00,2008-07-29,2008-07-28,2008-07,Tuesday,5,Night (00-08),Pass,0,28,0.1372,Medium,0.4296,No,0,19.3136,-0.0088,10.6376,0.8034,0.0346,7.4722,7.128,-1.204,10.13,0.5256
U0045,2008-07-29 06:19:00,2008-07-29,2008-07-28,2008-07,Tuesday,6,Night (00-08),Pass,0,28,0.2785,High,0.4565,Yes,0,8.3045,-0.0068,9.1585,0.7692,0.0375,8.038,4.665,-0.4258,7.09,0.3377
U0046,2008-07-29 08:23:00,2008-07-29,2008-07-28,2008-07,Tuesday,8,Morning (08-16),Fail,1,20,0.1261,Medium,0.4029,No,1,5.03,-0.0056,10.6376,0.7692,0.2139,45.2088,13.4098,-0.4258,20.78,0.3856
U0047,2008-07-29 11:47:00,2008-07-29,2008-07-28,2008-07,Tuesday,11,Morning (08-16),Pass,0,28,0.2908,High,0.4565,Yes,1,12.0945,-0.0071,8.7487,0.7484,0.1467,31.7398,5.2191,0.0946,7.93,0.4858
U0048,2008-07-29 15:41:00,2008-07-29,2008-07-28,2008-07,Tuesday,15,Morning (08-16),Pass,0,28,0.2641,High,0.4325,Yes,0,23.1373,-0.008,9.2007,0.7484,0.0221,4.7575,9.4939,0.0946,13.94,2.1687
U0049,2008-07-29 15:49:00,2008-07-29,2008-07-28,2008-07,Tuesday,15,Morning (08-16),Fail,1,20,0.0786,Low,0.4266,No,1,25.0382,-0.0091,23.3453,0.8142,0.1918,41.9486,13.2681,-1.108,19.73,0.7397
U0050,2008-07-29 17:05:00,2008-07-29,2008-07-28,2008-07,Tuesday,17,Evening (16-24),Fail,1,28,0.1743,High,0.3818,No,0,23.3109,-0.0078,8.7495,0.7692,0.0421,9.0516,4.9295,-0.4258,7.37,0.5254
U0051,2008-07-29 18:08:00,2008-07-29,2008-07-28,2008-07,Tuesday,18,Evening (16-24),Fail,1,44,0.1228,Medium,0.3958,No,1,23.9555,-0.0094,23.3453,0.7692,0.0244,5.2585,4.3641,-0.4258,6.49,0.3621
U0052,2008-07-29 21:07:00,2008-07-29,2008-07-28,2008-07,Tuesday,21,Evening (16-24),Pass,0,20,0.149,Medium,0.4667,Yes,1,21.39,-0.007,8.7487,0.7304,0.0354,7.6097,3.0761,-0.1419,4.5,0.4435
U0053,2008-07-29 23:14:00,2008-07-29,2008-07-28,2008-07,Tuesday,23,Evening (16-24),Pass,0,28,0.153,High,0.4167,No,3,1.5882,-0.0075,10.6376,0.7304,0.2956,64.9501,2.8513,-0.1419,4.34,0.3739
U0054,2008-07-29 23:19:00,2008-07-29,2008-07-28,2008-07,Tuesday,23,Evening (16-24),Pass,0,47,0.0915,Low,0.3907,No,0,0.6782,-0.0078,8.8249,0.7484,,,4.7511,0.0946,7.24,0.4566
U0055,2008-07-30 06:30:00,2008-07-30,2008-07-28,2008-07,Wednesday,6,Night (00-08),Pass,0,20,0.1855,High,0.4553,Yes,1,20.0455,-0.007,9.1784,0.7484,0.1959,42.7117,6.4725,0.0946,9.6,4.5487
U0056,2008-07-30 07:08:00,2008-07-30,2008-07-28,2008-07,Wednesday,7,Night (00-08),Pass,0,28,0.2222,High,0.4056,No,0,21.8964,-0.0087,9.1784,0.7484,0.0583,12.3373,9.6853,0.0946,14.76,0.4471
U0057,2008-07-30 12:02:00,2008-07-30,2008-07-28,2008-07,Wednesday,12,Morning (08-16),Pass,0,20,0.1391,Medium,0.3839,No,0,22.8809,-0.0037,8.7599,0.7145,0.0503,10.6428,5.2902,0.0473,7.69,0.3681
U0058,2008-07-30 12:29:00,2008-07-30,2008-07-28,2008-07,Wednesday,12,Morning (08-16),Fail,1,20,0.1753,High,0.4933,Yes,2,2.5209,-0.0055,8.7487,0.7304,0.0267,5.7689,4.3093,-0.1419,6.76,0.704
U0059,2008-07-30 21:16:00,2008-07-30,2008-07-28,2008-07,Wednesday,21,Evening (16-24),Fail,1,20,0.1289,Medium,0.441,Yes,0,15.9527,-0.0101,9.1784,0.7382,0.0297,6.3504,3.614,-0.615,5.36,4.5412
U0060,2008-07-31 13:57:00,2008-07-31,2008-07-28,2008-07,Thursday,13,Morning (08-16),Pass,0,36,0.11,Medium,0.3831,No,0,-1.6545,-0.0066,9.7997,0.8482,,,6.5713,0.1892,9.88,0.3814
U0061,2008-07-31 15:36:00,2008-07-31,2008-07-28,2008-07,Thursday,15,Morning (08-16),Pass,0,20,0.2114,High,0.387,No,0,6.7391,-0.0038,10.6376,0.8485,0.0385,8.1696,6.9887,0.0,10.91,0.5429
U0062,2008-07-31 17:07:00,2008-07-31,2008-07-28,2008-07,Thursday,17,Evening (16-24),Pass,0,20,0.2241,High,0.4766,Yes,2,13.8118,-0.0033,8.7588,0.8434,0.1661,35.3366,4.9417,0.0473,6.67,0.4134
U0063,2008-07-31 20:18:00,2008-07-31,2008-07-28,2008-07,Thursday,20,Evening (16-24),Fail,1,20,0.1007,Medium,0.4154,No,0,18.3209,-0.0057,8.7599,0.8434,0.0818,17.2276,2.2849,0.0473,3.25,0.4882
U0064,2008-08-01 02:02:00,2008-08-01,2008-07-28,2008-08,Friday,2,Night (00-08),Pass,0,20,0.1293,Medium,0.4079,No,0,16.4582,-0.0057,9.2405,0.8088,0.0165,3.5682,4.9435,0.3311,7.31,0.3262
U0065,2008-08-01 05:52:00,2008-08-01,2008-07-28,2008-08,Friday,5,Night (00-08),Fail,1,24,0.0677,Low,0.4315,No,0,9.05,-0.0057,8.7495,0.7332,0.1343,29.547,6.364,0.0,9.21,0.4198
U0066,2008-08-01 10:20:00,2008-08-01,2008-07-28,2008-08,Friday,10,Morning (08-16),Pass,0,32,0.1196,Medium,0.3965,No,0,18.8309,-0.0064,8.7495,0.7608,0.0221,4.7792,3.4336,0.0,4.92,0.8201
U0067,2008-08-01 10:26:00,2008-08-01,2008-07-28,2008-08,Friday,10,Morning (08-16),Pass,0,20,0.1181,Medium,0.4135,No,0,18.2809,-0.0053,8.6324,0.7608,0.0275,5.8481,4.5369,0.0,6.52,0.454
U0068,2008-08-01 11:28:00,2008-08-01,2008-07-28,2008-08,Friday,11,Morning (08-16),Pass,0,24,0.1318,Medium,0.4087,No,0,19.8,-0.0074,9.2658,0.7608,0.0457,9.8296,7.0096,0.0,10.58,0.4519
U0069,2008-08-01 12:29:00,2008-08-01,2008-07-28,2008-08,Friday,12,Morning (08-16),Pass,0,20,0.1858,High,0.4148,No,1,11.6818,-0.007,8.8033,0.7608,0.0251,5.3732,6.6665,0.0,9.14,1.075
U0070,2008-08-01 14:07:00,2008-08-01,2008-07-28,2008-08,Friday,14,Morning (08-16),Pass,0,20,0.1761,High,0.3947,No,0,22.4345,-0.0054,8.7599,0.7608,0.0947,20.7724,6.0666,0.0,8.88,0.8146
U0071,2008-08-01 15:10:00,2008-08-01,2008-07-28,2008-08,Friday,15,Morning (08-16),Pass,0,20,0.1294,Medium,0.4263,No,0,17.1627,-0.007,9.6272,0.7608,0.0489,10.5773,6.3071,0.0,9.25,0.8034
U0072,2008-08-02 03:39:00,2008-08-02,2008-07-28,2008-08,Saturday,3,Night (00-08),Pass,0,24,0.1509,Medium,0.3986,No,0,25.4573,-0.0046,8.7599,0.7025,0.0439,9.4224,12.1942,-0.3311,17.77,0.4479
U0073,2008-08-03 13:09:00,2008-08-03,2008-07-28,2008-08,Sunday,13,Morning (08-16),Pass,0,28,0.1047,Medium,0.4551,Yes,2,20.5509,-0.0031,8.7487,0.7509,0.0545,11.3996,4.0288,0.0473,5.76,0.5063
U0074,2008-08-03 14:06:00,2008-08-03,2008-07-28,2008-08,Sunday,14,Morning (08-16),Pass,0,20,0.1626,High,0.3993,No,0,18.6827,-0.0078,8.8388,0.7025,0.0398,8.5537,7.4078,-0.3311,11.21,0.392
U0075,2008-08-03 14:25:00,2008-08-03,2008-07-28,2008-08,Sunday,14,Morning (08-16),Pass,0,44,0.198,High,0.4136,No,0,25.4427,-0.0055,9.094,0.8376,0.2188,48.1025,6.2376,0.8042,9.34,0.3626
U0076,2008-08-03 15:03:00,2008-08-03,2008-07-28,2008-08,Sunday,15,Morning (08-16),Pass,0,20,0.1132,Medium,0.4136,No,0,17.6373,-0.0063,8.7588,0.7509,0.1725,37.8594,5.0493,0.0473,7.48,0.4602
U0077,2008-08-03 15:27:00,2008-08-03,2008-07-28,2008-08,Sunday,15,Morning (08-16),Pass,0,28,0.1631,High,0.4288,No,0,24.3509,-0.005,9.094,0.8376,0.1739,36.8888,5.3992,0.8042,7.97,1.0185
U0078,2008-08-03 16:00:00,2008-08-03,2008-07-28,2008-08,Sunday,16,Evening (16-24),Pass,0,20,0.1914,High,0.4143,No,0,12.0627,-0.0071,9.1784,0.8376,0.0445,9.6194,5.309,0.8042,7.48,1.1306
U0079,2008-08-03 17:00:00,2008-08-03,2008-07-28,2008-08,Sunday,17,Evening (16-24),Pass,0,20,0.2332,High,0.4129,No,0,9.5227,-0.0053,9.1585,0.7509,0.1574,34.0222,6.3951,0.0473,8.87,0.3272
U0080,2008-08-03 17:58:00,2008-08-03,2008-07-28,2008-08,Sunday,17,Evening (16-24),Pass,0,28,0.0891,Low,0.4146,No,0,22.9245,-0.0061,8.7495,0.7025,0.0958,20.7457,6.6984,-0.3311,10.01,0.8696
U0081,2008-08-03 20:23:00,2008-08-03,2008-07-28,2008-08,Sunday,20,Evening (16-24),Pass,0,20,0.1113,Medium,0.4152,No,0,9.3336,-0.0092,9.1784,0.8376,0.1755,38.3683,8.5107,0.8042,12.04,0.3444
U0082,2008-08-03 22:52:00,2008-08-03,2008-07-28,2008-08,Sunday,22,Evening (16-24),Pass,0,20,0.1945,High,0.4406,Yes,0,12.5391,-0.0071,10.6376,0.7489,0.0607,12.8495,9.0303,-0.4731,12.97,1.3942
U0083,2008-08-04 00:39:00,2008-08-04,2008-08-04,2008-08,Monday,0,Night (00-08),Fail,1,20,0.205,High,0.3989,No,0,12.4309,-0.0063,9.2658,0.7332,0.1832,40.704,10.2688,0.0,15.98,0.8039
U0084,2008-08-04 03:45:00,2008-08-04,2008-08-04,2008-08,Monday,3,Night (00-08),Pass,0,28,0.1189,Medium,0.4158,No,0,28.6355,-0.0053,8.6667,0.7489,0.0649,13.758,2.6817,-0.4731,3.96,1.2515
U0085,2008-08-04 03:49:00,2008-08-04,2008-08-04,2008-08,Monday,3,Night (00-08),Pass,0,28,0.1439,Medium,0.4615,Yes,0,8.6927,-0.006,9.1784,0.7509,0.0442,9.5049,3.0731,0.0473,4.34,0.2087
U0086,2008-08-04 13:19:00,2008-08-04,2008-08-04,2008-08,Monday,13,Morning (08-16),Pass,0,32,0.0645,Low,0.431,No,0,-5.3055,-0.0054,8.9336,0.7489,,,3.6862,-0.4731,5.36,0.8935
U0087,2008-08-04 14:04:00,2008-08-04,2008-08-04,2008-08,Monday,14,Morning (08-16),Pass,0,28,0.0825,Low,0.4197,No,0,-8.7491,-0.0066,8.755,0.7489,,,5.0449,-0.4731,7.46,0.3131
U0088,2008-08-04 14:31:00,2008-08-04,2008-08-04,2008-08,Monday,14,Morning (08-16),Pass,0,24,0.0773,Low,0.4085,No,0,26.6582,-0.004,8.7947,0.771,0.1351,28.9487,4.8666,0.0,6.94,1.0527
U0089,2008-08-04 15:29:00,2008-08-04,2008-08-04,2008-08,Monday,15,Morning (08-16),Pass,0,32,0.1173,Medium,0.4295,No,3,28.7064,-0.0047,8.7947,0.771,0.3297,76.0012,3.7282,0.0,5.34,1.0689
U0090,2008-08-04 16:15:00,2008-08-04,2008-08-04,2008-08,Monday,16,Evening (16-24),Pass,0,87,0.0776,Low,0.4142,No,0,-8.2255,-0.0053,8.8249,,,,5.2293,,7.58,0.8855
U0091,2008-08-04 16:31:00,2008-08-04,2008-08-04,2008-08,Monday,16,Evening (16-24),Pass,0,28,0.123,Medium,0.403,No,0,28.1191,-0.0049,9.3851,0.771,0.1551,32.9193,3.5796,0.0,5.06,1.0301
U0092,2008-08-04 17:11:00,2008-08-04,2008-08-04,2008-08,Monday,17,Evening (16-24),Pass,0,24,0.0974,Low,0.4513,Yes,1,8.6673,-0.0071,8.6942,0.7025,,,3.5482,-0.3311,5.2,0.8702
U0093,2008-08-04 17:46:00,2008-08-04,2008-08-04,2008-08,Monday,17,Evening (16-24),Pass,0,28,0.1164,Medium,0.4054,No,0,3.8509,-0.0061,9.1502,0.7509,,,3.3876,0.0473,5.05,0.4489
U0094,2008-08-04 18:24:00,2008-08-04,2008-08-04,2008-08,Monday,18,Evening (16-24),Pass,0,96,0.1469,Medium,0.4528,Yes,1,-15.1964,-0.0063,8.8388,,,,2.1475,,3.35,0.8286
U0095,2008-08-04 19:58:00,2008-08-04,2008-08-04,2008-08,Monday,19,Evening (16-24),Pass,0,68,0.1006,Medium,0.4274,No,0,-6.4836,-0.0054,8.6942,0.786,,,4.0269,0.7569,5.94,0.408
U0096,2008-08-04 20:32:00,2008-08-04,2008-08-04,2008-08,Monday,20,Evening (16-24),Pass,0,96,0.158,High,0.4299,No,0,-11.2182,-0.0058,9.7997,,,,4.1015,,6.06,0.7349
U0097,2008-08-04 20:58:00,2008-08-04,2008-08-04,2008-08,Monday,20,Evening (16-24),Fail,1,20,0.1456,Medium,0.4697,Yes,1,11.5591,-0.0052,8.7588,0.7509,0.0461,9.838,13.3252,0.0473,19.65,0.4659
U0098,2008-08-04 21:43:00,2008-08-04,2008-08-04,2008-08,Monday,21,Evening (16-24),Pass,0,36,0.1055,Medium,0.401,No,2,28.4227,-0.005,8.7947,0.7388,0.2973,64.1552,6.5265,0.0473,9.77,0.578
U0099,2008-08-04 22:51:00,2008-08-04,2008-08-04,2008-08,Monday,22,Evening (16-24),Pass,0,48,0.0974,Low,0.4108,No,0,24.4727,-0.005,9.3851,0.7388,0.0987,21.1593,4.8236,0.0473,7.35,0.6039
U0100,2008-08-04 23:33:00,2008-08-04,2008-08-04,2008-08,Monday,23,Evening (16-24),Pass,0,28,0.1869,High,0.4639,Yes,5,5.1345,-0.006,9.2007,0.771,0.4075,92.0761,3.1492,0.0,4.75,0.3485
U0101,2008-08-05 00:04:00,2008-08-05,2008-08-04,2008-08,Tuesday,0,Night (00-08),Pass,0,36,0.0696,Low,0.4135,No,0,24.8064,-0.0062,8.7947,0.7388,0.0545,11.8498,7.1654,0.0473,10.74,0.5181
U0102,2008-08-05 01:12:00,2008-08-05,2008-08-04,2008-08,Tuesday,1,Night (00-08),Pass,0,40,0.0807,Low,0.4077,No,0,27.6182,-0.0037,9.3851,0.7454,0.0418,9.0197,6.3688,0.1419,9.05,1.0108
U0103,2008-08-05 02:15:00,2008-08-05,2008-08-04,2008-08,Tuesday,2,Night (00-08),Pass,0,28,0.1529,High,0.4274,No,0,20.5864,-0.0069,10.9634,0.7454,0.1698,36.4807,4.7979,0.1419,6.97,0.9699
U0104,2008-08-05 02:36:00,2008-08-05,2008-08-04,2008-08,Tuesday,2,Night (00-08),Pass,0,36,0.0777,Low,0.4013,No,0,27.6655,-0.0051,9.3851,0.7388,0.0463,10.0733,3.9899,0.0473,5.63,0.5897
U0105,2008-08-05 02:45:00,2008-08-05,2008-08-04,2008-08,Tuesday,2,Night (00-08),Pass,0,28,0.0848,Low,0.4159,No,0,29.0264,-0.0056,9.094,0.786,0.0623,13.5649,6.8027,0.7569,9.99,0.2618
U0106,2008-08-05 03:17:00,2008-08-05,2008-08-04,2008-08,Tuesday,3,Night (00-08),Pass,0,28,0.1107,Medium,0.4017,No,0,27.7364,-0.0066,10.9634,0.771,0.0249,5.3696,5.9742,0.0,8.72,0.3543
U0107,2008-08-05 03:36:00,2008-08-05,2008-08-04,2008-08,Tuesday,3,Night (00-08),Pass,0,24,0.1164,Medium,0.4075,No,0,24.8282,-0.0059,9.1638,0.786,0.0252,5.4052,5.0971,0.7569,7.17,0.2641
U0108,2008-08-05 03:54:00,2008-08-05,2008-08-04,2008-08,Tuesday,3,Night (00-08),Pass,0,28,0.0883,Low,0.4132,No,0,24.6118,-0.0064,9.094,0.786,0.0471,10.0997,2.9844,0.7569,4.41,0.2872
U0109,2008-08-05 04:32:00,2008-08-05,2008-08-04,2008-08,Tuesday,4,Night (00-08),Pass,0,24,0.099,Low,0.4303,No,0,27.7155,-0.0075,9.094,0.786,0.199,42.0901,10.2301,0.7569,15.56,0.2697
U0110,2008-08-05 04:35:00,2008-08-05,2008-08-04,2008-08,Tuesday,4,Night (00-08),Pass,0,32,0.1057,Medium,0.4181,No,0,23.7864,-0.0068,9.1638,0.7388,0.1278,27.3449,4.8968,0.0473,6.89,0.2608
